Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref
###403	20.8	0.0	0.0	D5_12	925217	925293	77	C	103CL0250	LTR/Copia	(4)	91	15	184216	1	No_ref_available

###350	23.8	2.4	0.0	D5_12	932941	933024	86	+	103CL0250	LTR/Copia	9	94	(1)	184218	1	No_ref_available

###249	20.8	8.3	0.0	D5_12	933236	933307	78	C	103CL0250	LTR/Copia	(1)	94	17	184220	1	No_ref_available

###316	24.5	2.1	3.3	D5_12	947676	947768	92	C	103CL0250	LTR/Copia	(1)	94	3	184221	1	No_ref_available

###442	22.2	0.0	0.0	D5_12	960345	960425	81	+	103CL0250	LTR/Copia	14	94	(1)	184222	1	No_ref_available

###404	21.5	2.5	0.0	D5_12	960642	960720	81	C	103CL0250	LTR/Copia	(1)	94	14	184225	1	No_ref_available

###518	15.8	0.0	0.0	D5_12	966874	966955	82	+	103CL0250	LTR/Copia	13	94	(1)	184226	1	No_ref_available

###503	17.3	0.0	0.0	D5_12	967160	967240	81	C	103CL0250	LTR/Copia	(1)	94	14	184229	1	No_ref_available

###475	16.9	0.0	0.0	D5_12	969922	969998	77	+	103CL0250	LTR/Copia	15	91	(4)	184230	1	No_ref_available

###465	17.3	0.0	1.2	D5_12	970182	970263	81	C	103CL0250	LTR/Copia	(1)	94	14	184233	1	No_ref_available

###404	17.9	2.6	0.0	D5_12	971704	971781	80	+	103CL0250	LTR/Copia	15	94	(1)	184234	1	No_ref_available

###335	16.7	11.1	0.0	D5_12	971931	972002	80	C	103CL0250	LTR/Copia	(1)	94	15	184236	1	No_ref_available

###374	21.9	0.0	0.0	D5_12	498086	498167	82	C	129CL0250	LTR/Copia	(2)	93	12	184098	1	No_ref_available

###399	21.5	0.0	9.6	D5_12	505412	505514	94	C	129CL0250	LTR/Copia	(1)	94	1	184100	1	No_ref_available

###277	13.7	2.0	0.0	D5_12	505535	505585	52	+	129CL0250	LTR/Copia	43	94	(1)	184101	1	No_ref_available

###344	15.4	1.3	1.3	D5_12	517663	517741	79	C	129CL0250	LTR/Copia	(5)	90	12	184102	1	No_ref_available

###310	21.8	0.0	1.3	D5_12	519290	519368	78	C	129CL0250	LTR/Copia	(6)	89	12	184103	1	No_ref_available

###341	21.5	1.3	0.0	D5_12	540530	540608	80	+	129CL0250	LTR/Copia	12	91	(4)	184109	1	No_ref_available

###240	14.0	8.0	0.0	D5_12	565829	565878	54	C	129CL0250	LTR/Copia	(1)	94	41	184117	1	No_ref_available

###438	20.5	0.0	0.0	D5_12	565923	566005	83	+	129CL0250	LTR/Copia	12	94	(1)	184118	1	No_ref_available

###282	11.5	1.9	0.0	D5_12	577005	577056	53	C	129CL0250	LTR/Copia	(1)	94	42	184127	1	No_ref_available

###444	15.0	0.0	1.2	D5_12	577092	577172	80	+	129CL0250	LTR/Copia	15	94	(1)	184128	1	No_ref_available

###427	19.5	0.0	0.0	D5_12	588893	588974	82	C	129CL0250	LTR/Copia	(2)	93	12	184131	1	No_ref_available

###243	15.1	3.8	0.0	D5_12	589018	589070	55	+	129CL0250	LTR/Copia	40	94	(1)	184132	1	No_ref_available

###441	19.1	0.0	7.4	D5_12	589781	589882	95	+	129CL0250	LTR/Copia	1	95	(0)	184135	1	No_ref_available

###335	7.8	2.0	0.0	D5_12	606474	606524	52	C	129CL0250	LTR/Copia	(4)	91	40	184139	1	No_ref_available

###517	13.9	0.0	0.0	D5_12	606546	606624	79	+	129CL0250	LTR/Copia	16	94	(1)	184140	1	No_ref_available

###323	21.1	2.6	0.0	D5_12	609936	610011	78	C	129CL0250	LTR/Copia	(5)	90	13	184142	1	No_ref_available

###320	20.0	0.0	2.9	D5_12	619990	620061	70	C	129CL0250	LTR/Copia	(25)	70	1	184144	1	No_ref_available

###239	15.7	2.0	0.0	D5_12	620095	620145	52	+	129CL0250	LTR/Copia	43	94	(1)	184145	1	No_ref_available

###256	13.2	3.7	1.8	D5_12	623021	623074	55	C	129CL0250	LTR/Copia	(1)	94	40	184147	1	No_ref_available

###294	19.1	1.6	1.6	D5_12	623086	623149	64	+	129CL0250	LTR/Copia	30	93	(2)	184147	1	No_ref_available

###337	21.6	0.0	3.8	D5_12	633122	633203	79	+	129CL0250	LTR/Copia	16	94	(1)	184150	1	No_ref_available

###841	0.0	0.0	0.0	D5_12	634261	634355	95	+	129CL0250	LTR/Copia	1	95	(0)	184152	1	No_ref_available

###353	21.0	0.0	0.0	D5_12	648383	648463	81	C	129CL0250	LTR/Copia	(2)	93	13	184156	1	No_ref_available

###264	15.1	1.9	0.0	D5_12	656308	656360	54	C	129CL0250	LTR/Copia	(1)	94	41	184158	1	No_ref_available

###272	25.9	0.0	0.0	D5_12	679009	679089	81	C	129CL0250	LTR/Copia	(2)	93	13	184161	1	No_ref_available

###236	15.7	7.8	0.0	D5_12	776235	776285	55	C	129CL0250	LTR/Copia	(1)	94	40	184167	1	No_ref_available

###411	20.5	0.0	0.0	D5_12	776329	776411	83	+	129CL0250	LTR/Copia	12	94	(1)	184168	1	No_ref_available

###377	21.0	0.0	0.0	D5_12	818109	818189	81	+	129CL0250	LTR/Copia	13	93	(2)	184176	1	No_ref_available

###288	13.0	3.7	0.0	D5_12	839962	840015	56	C	129CL0250	LTR/Copia	(1)	94	39	184181	1	No_ref_available

###299	23.9	0.0	0.0	D5_12	840056	840122	67	+	129CL0250	LTR/Copia	28	94	(1)	184182	1	No_ref_available

###231	17.0	1.9	0.0	D5_12	855581	855633	54	C	129CL0250	LTR/Copia	(1)	94	41	184186	1	No_ref_available

###280	23.4	7.8	0.0	D5_12	855661	855737	83	+	129CL0250	LTR/Copia	12	94	(1)	184187	1	No_ref_available

###372	24.7	0.0	0.0	D5_12	863289	863369	81	C	129CL0250	LTR/Copia	(0)	95	15	184192	1	No_ref_available

###407	23.4	0.0	4.3	D5_12	872640	872737	94	C	129CL0250	LTR/Copia	(1)	94	1	184195	1	No_ref_available

###294	13.2	3.8	0.0	D5_12	872761	872813	55	+	129CL0250	LTR/Copia	40	94	(1)	184196	1	No_ref_available

###339	10.5	1.8	0.0	D5_12	874235	874291	58	+	129CL0250	LTR/Copia	22	79	(16)	184198	1	No_ref_available

###338	17.6	5.4	0.0	D5_12	887103	887176	78	C	129CL0250	LTR/Copia	(16)	79	2	184200	1	No_ref_available

###340	16.9	0.0	0.0	D5_12	908092	908150	59	C	129CL0250	LTR/Copia	(25)	70	12	184211	1	No_ref_available

###296	16.7	1.9	0.0	D5_12	925074	925127	55	C	129CL0250	LTR/Copia	(1)	94	40	184215	1	No_ref_available

###319	15.9	3.2	0.0	D5_12	925133	925195	65	+	129CL0250	LTR/Copia	30	94	(1)	184215	1	No_ref_available

###346	22.8	1.1	2.1	D5_12	933124	933217	93	+	129CL0250	LTR/Copia	2	94	(1)	184219	1	No_ref_available

###335	18.8	0.0	0.0	D5_12	960466	960529	64	C	129CL0250	LTR/Copia	(19)	76	13	184223	1	No_ref_available

###303	14.6	1.8	0.0	D5_12	960569	960623	56	+	129CL0250	LTR/Copia	39	94	(1)	184224	1	No_ref_available

###307	7.8	7.8	0.0	D5_12	966974	967024	55	C	129CL0250	LTR/Copia	(1)	94	40	184227	1	No_ref_available

###535	19.1	0.0	0.0	D5_12	967048	967141	94	+	129CL0250	LTR/Copia	1	94	(1)	184228	1	No_ref_available

###260	18.2	1.8	0.0	D5_12	970020	970074	56	C	129CL0250	LTR/Copia	(1)	94	39	184231	1	No_ref_available

###260	13.0	0.0	0.0	D5_12	970118	970163	46	+	129CL0250	LTR/Copia	49	94	(1)	184232	1	No_ref_available

###402	21.9	0.0	0.0	D5_12	971830	971911	82	+	129CL0250	LTR/Copia	12	93	(2)	184235	1	No_ref_available

###839	0.2	0.0	0.0	D5_12	4976270	4976381	95	C	1740CL0128	LTR/Copia	(0)	95	1	184843	1	No_ref_available

###839	0.2	0.0	0.0	D5_12	4982850	4982961	95	C	1740CL0128	LTR/Copia	(0)	95	1	184850	1	No_ref_available

###329	27.0	0.0	2.2	D5_12	2767643	2767733	89	C	1758CL0128	LTR/Copia	(3)	92	4	184545	1	No_ref_available

###848	0.0	0.0	0.0	D5_12	2766536	2766630	95	+	1821CL0128	LTR/Copia	1	95	(0)	184543	1	No_ref_available

###311	23.7	5.3	0.0	D5_12	2767668	2767743	80	+	1821CL0128	LTR/Copia	1	80	(15)	184546	1	No_ref_available

###848	0.0	0.0	0.0	D5_12	4976257	4976351	95	+	1821CL0128	LTR/Copia	1	95	(0)	184842	1	No_ref_available

###848	0.0	0.0	0.0	D5_12	4982837	4982931	95	+	1821CL0128	LTR/Copia	1	95	(0)	184849	1	No_ref_available

###449	16.5	1.1	1.1	D5_12	1054619	1054710	92	C	224CL0250	LTR/Copia	(3)	92	1	184257	1	No_ref_available

###374	23.9	0.0	1.1	D5_12	1107218	1107310	92	C	224CL0250	LTR/Copia	(3)	92	1	184266	1	No_ref_available

###308	13.1	0.0	3.3	D5_12	1107349	1107411	61	+	224CL0250	LTR/Copia	32	92	(3)	184267	1	No_ref_available

###237	25.0	0.0	2.4	D5_12	1124909	1124994	84	C	224CL0250	LTR/Copia	(3)	92	9	184275	1	No_ref_available

###245	11.3	3.6	3.6	D5_12	1160903	1160957	55	+	224CL0250	LTR/Copia	15	69	(26)	184279	1	No_ref_available

###400	21.4	0.0	0.0	D5_12	1163494	1163582	89	+	224CL0250	LTR/Copia	4	92	(3)	184280	1	No_ref_available

###837	0.0	0.0	0.0	D5_12	1167319	1167413	95	+	224CL0250	LTR/Copia	1	95	(0)	184281	1	No_ref_available

###475	14.6	0.0	2.2	D5_12	1252632	1252722	89	C	224CL0250	LTR/Copia	(3)	92	4	184293	1	No_ref_available

###285	24.1	2.2	3.4	D5_12	1305863	1305952	89	+	224CL0250	LTR/Copia	4	92	(3)	184298	1	No_ref_available

###414	19.6	0.0	2.2	D5_12	1349194	1349287	92	C	224CL0250	LTR/Copia	(3)	92	1	184308	1	No_ref_available

###400	19.6	0.0	1.1	D5_12	1386861	1386953	92	+	224CL0250	LTR/Copia	1	92	(3)	184309	1	No_ref_available

###245	22.0	0.0	0.0	D5_12	1396793	1396842	50	C	224CL0250	LTR/Copia	(45)	50	1	184312	1	No_ref_available

###227	18.2	0.0	3.6	D5_12	1396887	1396943	55	+	224CL0250	LTR/Copia	37	91	(4)	184313	1	No_ref_available

###249	26.9	0.0	0.0	D5_12	1412239	1412305	67	+	224CL0250	LTR/Copia	3	69	(26)	184314	1	No_ref_available

###292	24.4	1.1	1.1	D5_12	1423472	1423558	87	+	224CL0250	LTR/Copia	6	92	(3)	184315	1	No_ref_available

###415	22.8	0.0	1.1	D5_12	1433896	1433988	92	C	224CL0250	LTR/Copia	(3)	92	1	184316	1	No_ref_available

###303	24.7	1.1	1.1	D5_12	1457522	1457611	90	C	224CL0250	LTR/Copia	(3)	92	3	184319	1	No_ref_available

###848	0.0	0.0	0.0	D5_12	2328702	2328796	95	C	354CL0226	LTR/Copia	(0)	95	1	184453	1	No_ref_available

###830	3.2	0.0	0.0	D5_12	2222200	2222294	95	C	368CL0225	LTR/Copia	(0)	95	1	184433	1	No_ref_available

###842	0.0	0.0	0.0	D5_12	4977221	4977315	95	+	757CL0128	LTR/Copia	1	95	(0)	184845	1	No_ref_available

###842	0.0	0.0	0.0	D5_12	4983803	4983897	95	+	757CL0128	LTR/Copia	1	95	(0)	184852	1	No_ref_available

###228	7.0	0.0	0.0	D5_12	3500188	3500230	43	C	ATCOPIA28_I-int	LTR/Copia	(3968)	738	696	184629	1	No_ref_available

###231	8.2	1.6	3.2	D5_12	38945181	38945243	62	+	ATCOPIA28_I-int	LTR/Copia	689	750	(3956)	195410	1	No_ref_available

###5392/817/1257	23.480	0.904	0.933	D5_12	39663126	39669735	1956	+	ATCOPIA28_I-int	LTR/Copia	2929	4998	(188)	195670/195670/195670	3	No_ref_available
5392	22.6	0.8	0.6	D5_12	39663126	39664278	1155	+	ATCOPIA28_I-int	LTR/Copia	2929	4083	(623)	195670	1
817	26.6	0.5	1.2	D5_12	39666675	39666922	190	+	ATCOPIA28_I-int	LTR/Copia	4079	4268	(438)	195670	1
1257	24.9	2.2	2.8	D5_12	39669275	39669735	616	+	ATCOPIA28_I-int	LTR/Copia	4383	4998	(188)	195670	1

###231	4.7	0.0	0.0	D5_12	54909204	54909246	43	C	ATCOPIA28_I-int	LTR/Copia	(3977)	729	687	200592	1	No_ref_available

###272	11.6	1.4	7.1	D5_12	18163420	18163493	70	C	ATCOPIA30_I-int	LTR/Copia	(3545)	324	255	188019	1	No_ref_available

###288	27.3	0.0	4.5	D5_12	56134882	56135019	132	C	Copia-101_Mad-I	LTR/Copia	(2869)	2566	2435	200874	1	No_ref_available

###231/419	34.221	3.354	3.564	D5_12	40575760	40576769	487	+	Copia-104_GM-I	LTR/Copia	2516	3818	(1967)	196027/196027	2	No_ref_available
231	27.8	5.0	2.0	D5_12	40575760	40575858	102	+	Copia-104_GM-I	LTR/Copia	2516	2617	(1926)	196027	1
419	35.6	3.0	3.9	D5_12	40576309	40576769	385	+	Copia-104_GM-I	LTR/Copia	3434	3818	(1967)	196027	1

###13078	2.8	0.1	0.1	D5_12	34054944	34056471	1529	C	Copia-10_GR-I	LTR/Copia	(1885)	2193	665	193703	1	No_ref_available

###5164	4.5	0.1	6.2	D5_12	34059491	34060194	664	+	Copia-10_GR-I	LTR/Copia	1	664	(3414)	193706	1	No_ref_available

###4233	22.8	1.1	0.6	D5_12	44884180	44885175	1001	+	Copia-11_CP-I	LTR/Copia	3127	4127	(3)	197496	1	No_ref_available

###454/3393	31.599	2.813	2.457	D5_12	16493442	16495600	1765	+	Copia-11_GR-I	LTR/Copia	2214	4230	(84)	187568/187568	2	0.377
454	33.2	0.5	0.5	D5_12	16493442	16493635	194	+	Copia-11_GR-I	LTR/Copia	2214	2407	(1823)	187568	1
3393	31.4	3.1	2.7	D5_12	16494036	16495600	1571	+	Copia-11_GR-I	LTR/Copia	2660	4230	(84)	187568	1

###2153/3362	31.779	4.012	3.174	D5_12	18785727	18790046	4148	+	Copia-11_GR-I	LTR/Copia	1	4287	(27)	188161/188161	2	0.886
2153	31.9	5.1	3.9	D5_12	18785727	18788129	2520	+	Copia-11_GR-I	LTR/Copia	1	2520	(1906)	188161	1
3362	31.6	2.4	2.1	D5_12	18788424	18790046	1628	+	Copia-11_GR-I	LTR/Copia	2660	4287	(27)	188161	1

###23552	19.1	0.9	0.7	D5_12	50015034	50019337	4314	+	Copia-11_GR-I	LTR/Copia	1	4314	(0)	199212	1	0.922

###6129	12.5	0.1	0.0	D5_12	55402242	55403106	866	C	Copia-11_GR-I	LTR/Copia	(0)	4314	3449	200693	1	0.185

###23979	12.3	0.1	0.1	D5_12	55408892	55412343	3453	C	Copia-11_GR-I	LTR/Copia	(861)	3453	1	200693	1	0.738

###33695	4.5	0.5	0.0	D5_12	39452586	39456672	4105	C	Copia-12_GR-I	LTR/Copia	(0)	4105	1	195590	1	0.916

###34616	3.6	0.2	0.0	D5_12	52031675	52035770	4103	C	Copia-12_GR-I	LTR/Copia	(2)	4103	1	199791	1	0.916

###11009/5417	21.865	1.018	2.057	D5_12	49256928	49260554	3601	C	Copia-12_JC-I	LTR/Copia	(0)	4061	53	198989/198989	2	No_ref_available
11009	21.9	0.6	1.5	D5_12	49256928	49259297	2350	C	Copia-12_JC-I	LTR/Copia	(0)	4061	1712	198989	1
5417	21.8	1.8	3.1	D5_12	49259288	49260554	1251	C	Copia-12_JC-I	LTR/Copia	(2758)	1303	53	198989	1

###2747/14477	22.680	2.743	2.579	D5_12	18554193	18558988	5372	+	Copia-12_TC-I	LTR/Copia	229	5600	(0)	188105/188105	2	No_ref_available
2747	24.8	2.9	2.5	D5_12	18554193	18555197	1542	+	Copia-12_TC-I	LTR/Copia	229	1770	(2936)	188105	1
14477	22.1	2.7	2.6	D5_12	18555317	18558988	4150	+	Copia-12_TC-I	LTR/Copia	1451	5600	(0)	188105	1

###323	20.9	21.9	1.0	D5_12	19447273	19447441	323	C	Copia-12_TC-I	LTR/Copia	(3393)	1925	1603	188301	1	No_ref_available

###861	25.5	11.0	1.5	D5_12	39352527	39352825	327	C	Copia-12_TC-I	LTR/Copia	(4458)	728	402	195549	1	No_ref_available

###273/255	20.895	2.981	0.767	D5_12	39597937	39598086	138	+	Copia-12_TC-I	LTR/Copia	1596	2163	(3385)	195642/195642	2	No_ref_available
273	24.6	1.4	1.4	D5_12	39597937	39598010	74	+	Copia-12_TC-I	LTR/Copia	1596	1669	(3517)	195642	1
255	16.4	4.9	0.0	D5_12	39598026	39598086	64	+	Copia-12_TC-I	LTR/Copia	2100	2163	(3385)	195642	1

###246/235	18.713	4.449	1.426	D5_12	40256457	40256601	139	+	Copia-12_TC-I	LTR/Copia	1612	1923	(3395)	195890/195890	2	No_ref_available
246	25.9	0.0	0.0	D5_12	40256457	40256514	58	+	Copia-12_TC-I	LTR/Copia	1612	1669	(3517)	195890	1
235	13.3	7.8	2.5	D5_12	40256525	40256601	81	+	Copia-12_TC-I	LTR/Copia	1843	1923	(3395)	195890	1

###229/318	23.035	2.899	0.000	D5_12	40264402	40264550	143	C	Copia-12_TC-I	LTR/Copia	(3407)	1911	1596	195895/195895	2	No_ref_available
229	20.0	6.2	0.0	D5_12	40264402	40264466	69	C	Copia-12_TC-I	LTR/Copia	(3407)	1911	1843	195895	1
318	25.7	0.0	0.0	D5_12	40264477	40264550	74	C	Copia-12_TC-I	LTR/Copia	(3517)	1669	1596	195895	1

###596/258/3935/997	26.151	12.725	2.156	D5_12	42571669	42574646	2730	+	Copia-12_TC-I	LTR/Copia	686	5186	(0)	196760/196760/196760/196760	4	No_ref_available
596	25.9	9.9	0.0	D5_12	42571669	42571830	178	+	Copia-12_TC-I	LTR/Copia	686	863	(4323)	196760	1
258	29.7	0.0	0.0	D5_12	42572039	42572102	64	+	Copia-12_TC-I	LTR/Copia	1596	1659	(3527)	196760	1
3935	26.6	13.5	2.8	D5_12	42572393	42574271	2075	+	Copia-12_TC-I	LTR/Copia	1882	3956	(1230)	196760	1
997	22.4	15.8	1.3	D5_12	42574286	42574646	413	+	Copia-12_TC-I	LTR/Copia	4774	5186	(0)	196760	1

###842/831	28.126	7.083	0.756	D5_12	42794399	42795027	659	+	Copia-12_TC-I	LTR/Copia	4400	5186	(0)	196840/196840	2	No_ref_available
842	30.1	6.6	0.8	D5_12	42794399	42794746	368	+	Copia-12_TC-I	LTR/Copia	4400	4767	(419)	196840	1
831	25.6	7.7	0.7	D5_12	42794756	42795027	291	+	Copia-12_TC-I	LTR/Copia	4896	5186	(0)	196840	1

###485	28.6	0.3	0.1	D5_12	43394487	43394641	251	C	Copia-12_TC-I	LTR/Copia	(3527)	1791	1541	197033	1	No_ref_available

###260/362/678	27.256	8.751	1.046	D5_12	43517820	43518452	607	+	Copia-12_TC-I	LTR/Copia	1103	1921	(3265)	197073/197073/197073	3	No_ref_available
260	29.7	11.6	1.5	D5_12	43517820	43518000	199	+	Copia-12_TC-I	LTR/Copia	1103	1301	(4017)	197073	1
362	27.1	8.9	1.2	D5_12	43517978	43518134	274	+	Copia-12_TC-I	LTR/Copia	1514	1787	(3531)	197073	1
678	25.9	7.0	0.7	D5_12	43518166	43518452	305	+	Copia-12_TC-I	LTR/Copia	1617	1921	(3265)	197073	1

###322	24.7	1.4	0.0	D5_12	47466757	47466829	74	+	Copia-12_TC-I	LTR/Copia	712	785	(4401)	198421	1	No_ref_available

###2454	23.2	2.9	2.4	D5_12	51816550	51817203	657	C	Copia-12_TC-I	LTR/Copia	(3056)	2130	1474	199733	1	No_ref_available

###10712	20.1	1.5	1.3	D5_12	51817453	51819684	2236	+	Copia-12_TC-I	LTR/Copia	2152	4387	(799)	199734	1	No_ref_available

###437	28.1	5.7	5.5	D5_12	48162682	48163014	301	C	Copia-13_ECa-I	LTR/Copia	(1870)	2176	1876	198654	1	No_ref_available

###40545	0.0	0.0	0.0	D5_12	26870643	26875095	4455	+	Copia-13_GR-I	LTR/Copia	1	4455	(0)	190711	1	No_ref_available

###232	18.8	0.0	4.2	D5_12	41026512	41026561	48	+	Copia-13_TC-I	LTR/Copia	6216	6263	(2232)	196181	1	No_ref_available

###248	29.0	7.5	4.0	D5_12	49014296	49014442	152	C	Copia-13_TC-I	LTR/Copia	(8004)	491	340	198910	1	No_ref_available

###279	17.9	3.3	8.1	D5_12	52348123	52348213	87	+	Copia-13_TC-I	LTR/Copia	389	475	(8020)	199914	1	No_ref_available

###5355/38179/5419	1.512	0.333	0.234	D5_12	783138	788862	5825	+	Copia-14_GR-LTR	LTR/Copia	NA	NA	NA	184170/184170/184171	3	1.017
5355	1.6	0.0	0.0	D5_12	783138	783768	631	+	Copia-14_GR-LTR	LTR/Copia	1	631	(0)	184170	1
38179	1.6	0.4	0.3	D5_12	783769	788232	4563	+	Copia-14_GR-I	LTR/Copia	1	4563	(55)	184170	1
5419	0.8	0.2	0.0	D5_12	788233	788862	631	+	Copia-14_GR-LTR	LTR/Copia	1	631	(0)	184171	1

###5431/38044/5282	1.857	0.022	0.234	D5_12	8152412	8158152	5729	C	Copia-14_GR-LTR	LTR/Copia	NA	NA	NA	185487/185487/185487	3	1.000
5431	0.9	0.0	0.0	D5_12	8152412	8153042	631	C	Copia-14_GR-LTR	LTR/Copia	(0)	631	1	185487	1
38044	2.0	0.0	0.3	D5_12	8153043	8157522	4467	C	Copia-14_GR-I	LTR/Copia	(0)	4467	1	185487	1
5282	1.8	0.2	0.0	D5_12	8157523	8158152	631	C	Copia-14_GR-LTR	LTR/Copia	(0)	631	1	185487	1

